"Name","ID"
"Australasia & Oceania",0
"Central America & Caribbean",1
"Central Asia",2
"East Asia",3
"Eastern Europe",4
"Middle East & North Africa",5
"North America",6
"South America",7
"South Asia",8
"Southeast Asia",9
"Sub-Saharan Africa",10
"Western Europe",11
"Armed Assault",12
"Assassination",13
"Bombing/Explosion",14
"Facility/Infrastructure Attack",15
"Hijacking",16
"Hostage Taking (Barricade Incident)",17
"Hostage Taking (Kidnapping)",18
"Unarmed Assault",19
"Unknown",20
